instance                           n     g    nswaps         obj       bound      gap%    sols       nodes    status     runtime
R1.dat                            12     1         1       7.697       7.697     0.000       3           1         2       0.005
R1.dat                            12     2         1       0.934       0.934     0.000       2           1         2       0.058
R2.dat                            12     1         1      17.126      17.126     0.000       2           1         2       0.005
R2.dat                            12     2         1       0.900       0.900     0.000       7           1         2       0.089
R1.dat                            12     3         1       0.611       0.611     0.000      10       14726         2       2.962
R3.dat                            12     1         4      13.897      13.897     0.000       2           1         2       0.005
R3.dat                            12     2         4       2.837       2.837     0.000       5         211         2       0.301
R2.dat                            12     3         1       0.579       0.579     0.000       6       29265         2       6.745
R1.dat                            12     4         1       0.357       0.357     0.000      10      185904         2      56.626
R4.dat                            12     1         4      19.778      19.778     0.000       3           1         2       0.005
R4.dat                            12     2         4       2.790       2.790     0.000       7         672         2       0.482
R2.dat                            12     4         1       0.308       0.308     0.000      10      165981         2      74.197
R4.dat                            12     3         4       1.808       1.808     0.000       7      417451         2     388.872
R5.dat                            12     1         7      12.594      12.594     0.000       2           1         2       0.005
R5.dat                            12     2         7       4.071       4.071     0.000       8        1608         2       1.030
R3.dat                            12     3         4       1.991       1.991     0.000      10     1779971         2    1049.893
R5.dat                            12     3         7       2.691       2.691     0.000      10     5738382         2    4932.007
R6.dat                            12     1         7      15.786      15.786     0.000       2           1         2       0.005
R6.dat                            12     2         7       4.066       4.066     0.000      10        5641         2       2.306
R3.dat                            12     4         4       1.230       0.590    52.011      10    22465217         9    7200.001
R4.dat                            12     4         4       1.061       0.589    44.452      10    17857245         9    7200.002
R7.dat                            12     1         1      13.936      13.936     0.000       3           1         2       0.005
R7.dat                            12     2         1       5.510       5.510     0.000       6        4294         2       3.708
R7.dat                            12     3         1       0.920       0.920     0.000       4       24843         2       8.381
R7.dat                            12     4         1       0.644       0.644     0.000      10      969003         2     359.966
R8.dat                            12     1         1      18.598      18.598     0.000       3           1         2       0.005
R8.dat                            12     2         1       5.377       5.377     0.000       8        1981         2       1.437
R8.dat                            12     3         1       0.799       0.799     0.000      10       33253         2      24.538
R5.dat                            12     4         7       1.762       0.514    70.856      10    22341488         9    7200.001
R9.dat                            12     1         4      18.221      18.221     0.000       3           1         2       0.005
R9.dat                            12     2         4       5.329       5.329     0.000       8        3361         2       3.911
R8.dat                            12     4         1       0.582       0.582     0.000      10     1418480         2     604.373
R9.dat                            12     3         4       2.282       2.282     0.000      10     1392964         2    2086.963
R10.dat                           12     1         4      18.930      18.930     0.000       2           1         2       0.005
R10.dat                           12     2         4       3.854       3.854     0.000       4        1525         2       1.266
R6.dat                            12     3         7       2.914       2.368    18.732      10     9947638         9    7200.002
R6.dat                            12     4         7       1.484       0.669    54.950      10    20505764         9    7200.001
R11.dat                           12     1         7      14.487      14.487     0.000       3           1         2       0.005
R11.dat                           12     2         7       5.980       5.980     0.000       6       15012         2       8.654
R9.dat                            12     4         4       1.663       0.548    67.047      10    19260521         9    7200.001
R10.dat                           12     3         4       2.330       1.852    20.496      10    24543318         9    7200.001
R12.dat                           12     1         7      18.556      18.556     0.000       3           1         2       0.005
R12.dat                           12     2         7       5.635       5.635     0.000      10        5459         2       5.647
R10.dat                           12     4         4       1.622       0.493    69.623      10    19727758         9    7200.001
