instance                           n     g    nswaps      it          obj_last          obj_best     runtime   run  starts
R1.dat                            12     1         1      20             7.697             7.697       0.199     1      10
R1.dat                            12     2         1      25             0.934             0.934       0.369     1      10
R1.dat                            12     3         1      36             0.611             0.611       0.810     3      10
R2.dat                            12     1         1      20            17.126            17.126       0.189     1      10
R2.dat                            12     2         1      23             0.900             0.900       0.337     1      10
R2.dat                            12     3         1      28             0.579             0.579       1.281     1      10
R1.dat                            12     4         1      33             0.357             0.357       1.596     6      10
R3.dat                            12     1         4      20            13.897            13.897       0.206     1      10
R3.dat                            12     2         4      27             2.837             2.837       0.424     1      10
R3.dat                            12     3         4      41             1.991             1.991       1.685     3      10
R2.dat                            12     4         1      34             0.308             0.308       2.874     6      10
R4.dat                            12     1         4      20            19.778            19.778       0.195     1      10
R4.dat                            12     2         4      29             2.790             2.790       0.528     1      10
R4.dat                            12     3         4      32             1.808             1.808       3.172     4      10
R5.dat                            12     1         7      20            12.594            12.594       0.188     1      10
R3.dat                            12     4         4      33             1.230             1.230       5.494     2      10
R5.dat                            12     2         7      28             4.071             4.071       0.436     1      10
R5.dat                            12     3         7      35             2.691             2.691       1.762     3      10
R6.dat                            12     1         7      20            15.786            15.786       0.187     1      10
R6.dat                            12     2         7      36             4.066             4.066       0.641     1      10
R4.dat                            12     4         4      34             1.184             1.184      11.402     1      10
R7.dat                            12     1         1      20            13.936            13.936       0.193     1      10
R6.dat                            12     3         7      39             2.828             2.828       5.539     2      10
R5.dat                            12     4         7      38             1.759             1.759      12.747     3      10
R7.dat                            12     2         1      30             5.510             5.510       0.445     2      10
R7.dat                            12     3         1      31             0.920             0.920       0.979     1      10
R8.dat                            12     1         1      20            18.598            18.598       0.206     1      10
R7.dat                            12     4         1      32             0.644             0.644       2.535     2      10
R8.dat                            12     2         1      31             5.377             5.377       0.595     1      10
R9.dat                            12     1         4      20            18.221            18.221       0.188     1      10
R9.dat                            12     2         4      31             5.329             5.329       0.536     1      10
R8.dat                            12     3         1      38             0.799             0.799       3.079     3      10
R6.dat                            12     4         7      37             1.484             1.484      15.636     8      10
R9.dat                            12     3         4      42             2.282             2.282       2.249     1      10
R10.dat                           12     1         4      20            18.930            18.930       0.195     1      10
R10.dat                           12     2         4      29             3.854             3.854       0.493     1      10
R8.dat                            12     4         1      32             0.582             0.582       8.497     5      10
R11.dat                           12     1         7      20            14.487            14.487       0.196     1      10
R10.dat                           12     3         4      33             2.330             2.330       2.405     3      10
R11.dat                           12     2         7      34             5.980             5.980       0.684     1      10
R11.dat                           12     3         7      43             3.127             3.127       2.786     5      10
R12.dat                           12     1         7      20            18.556            18.556       0.204     1      10
R9.dat                            12     4         4      41             1.663             1.663      13.586     2      10
R12.dat                           12     2         7      32             5.635             5.635       0.629     1      10
R12.dat                           12     3         7      46             3.712             3.712       4.965     3      10
R13.dat                           12     1         1      20            14.248            14.248       0.198     1      10
R10.dat                           12     4         4      41             1.583             1.583      17.295     5      10
R11.dat                           12     4         7      38             1.988             1.988      12.023     5      10
R13.dat                           12     2         1      37             4.604             4.604       0.534     1      10
R13.dat                           12     3         1      30             1.993             1.993       1.237     3      10
R14.dat                           12     1         1      20            15.480            15.480       0.210     1      10
R14.dat                           12     2         1      34             7.262             7.262       0.863     1      10
R13.dat                           12     4         1      35             0.878             0.878       4.709     2      10
R15.dat                           12     1         4      20            17.958            17.958       0.189     1      10
