instance                           n     g    nswaps         obj       bound      gap%    sols       nodes    status     runtime
R1.dat                            12     1         1      12.144      12.144     0.000       2           1         2       0.005
R1.dat                            12     2         1       0.934       0.934     0.000       2           1         2       0.068
R1.dat                            12     3         1       0.562       0.562     0.000       9        5667         2       1.277
R2.dat                            12     1         1       8.666       8.666     0.000       3           1         2       0.005
R2.dat                            12     2         1       1.000       1.000     0.000       7           1         2       0.068
R2.dat                            12     3         1       0.640       0.640     0.000       8       17515         2       2.458
R1.dat                            12     4         1       0.290       0.290     0.000      10       64230         2      15.177
R3.dat                            12     1         4      12.349      12.349     0.000       2           1         2       0.005
R3.dat                            12     2         4       2.874       2.874     0.000       2         132         2       0.311
R2.dat                            12     4         1       0.344       0.344     0.000       8      187298         2      35.111
R3.dat                            12     3         4       1.942       1.942     0.000      10      370722         2     175.647
R4.dat                            12     1         4      21.344      21.344     0.000       2           1         2       0.005
R4.dat                            12     2         4       2.830       2.830     0.000       7         762         2       0.415
R4.dat                            12     3         4       1.968       1.968     0.000      10     1194351         2     421.689
R3.dat                            12     4         4       1.334       0.731    45.238      10    93522424         9   14400.003
R5.dat                            12     1         8      13.604      13.604     0.000       3           1         2       0.006
R5.dat                            12     2         8       4.556       4.556     0.000      10        5751         2       1.563
R4.dat                            12     4         4       1.123       0.849    24.416      10    99476914         9   14400.004
R5.dat                            12     3         8       2.975       2.975     0.000      10    35556800         2   13930.309
R6.dat                            12     1         8      20.440      20.440     0.000       2           1         2       0.005
R6.dat                            12     2         8       3.822       3.822     0.000       9         714         2       0.396
R5.dat                            12     4         8       1.877       0.670    64.313      10    78533311         9   14400.006
R6.dat                            12     3         8       2.746       2.746     0.000      10    13496388         2    4996.115
R7.dat                            12     1         1      20.762      20.762     0.000       3           1         2       0.005
R7.dat                            12     2         1       5.334       5.334     0.000       3        4648         2       2.848
R7.dat                            12     3         1       0.920       0.920     0.000       5       32780         2       6.273
R7.dat                            12     4         1       0.616       0.616     0.000      10     3154893         2     739.215
R8.dat                            12     1         1      19.305      19.305     0.000       2           1         2       0.005
R8.dat                            12     2         1       4.249       4.249     0.000       8        1603         2       0.766
R8.dat                            12     3         1       0.942       0.942     0.000      10      165908         2      39.070
R8.dat                            12     4         1       0.676       0.676     0.000      10    28041083         2    5577.490
R9.dat                            12     1         4      13.853      13.853     0.000       2           1         2       0.005
R9.dat                            12     2         4       5.078       5.078     0.000      10        9425         2       2.444
R9.dat                            12     3         4       2.714       2.714     0.000      10     7067146         2    2907.991
R6.dat                            12     4         8       1.800       0.721    59.929      10    83818927         9   14400.003
R10.dat                           12     1         4      14.416      14.416     0.000       3           1         2       0.006
R10.dat                           12     2         4       5.518       5.518     0.000      10       10690         2       5.874
R10.dat                           12     3         4       2.172       2.172     0.000      10     4089686         2    1671.735
R9.dat                            12     4         4       1.749       0.786    55.081      10    78299373         9   14400.002
R11.dat                           12     1         8      15.299      15.299     0.000       2           1         2       0.005
R11.dat                           12     2         8       5.179       5.179     0.000      10        5305         2       3.247
R10.dat                           12     4         4       1.480       0.746    49.609      10    92406973         9   14400.002
R11.dat                           12     3         8       3.494       2.500    28.453      10    41314490         9   14400.004
R12.dat                           12     1         8      22.301      22.301     0.000       2           1         2       0.005
R12.dat                           12     2         8       4.887       4.887     0.000       8        5847         2       3.924
R11.dat                           12     4         8       1.971       0.658    66.617      10    97429226         9   14400.003
R12.dat                           12     3         8       3.267       1.787    45.301      10    39163844         9   14400.003
R12.dat                           12     4         8       2.432       0.349    85.646      10    95894959         9   14400.003
R13.dat                           12     1         1      18.700      18.700     0.000       2           1         2       0.005
R13.dat                           12     2         1       6.624       6.624     0.000       7       12133         2       2.936
R13.dat                           12     3         1       1.811       1.811     0.000      10     1348320         2     186.039
R13.dat                           12     4         1       0.676       0.676     0.000      10     1298789         2     346.974
R14.dat                           12     1         1      19.850      19.850     0.000       3           1         2       0.005
R14.dat                           12     2         1       7.182       7.182     0.000      10       30910         2      20.508
R14.dat                           12     3         1       2.296       2.296     0.000      10     2947190         2    2145.983
R15.dat                           12     1         4      17.957      17.957     0.000       2           1         2       0.005
R15.dat                           12     2         4       6.751       6.751     0.000       8       19748         2       6.888
R14.dat                           12     4         1       0.794       0.794     0.000      10    55590127         2    9312.460
R15.dat                           12     3         4       3.009       2.328    22.625      10   105785800         9   14400.003
R16.dat                           12     1         4      19.944      19.944     0.000       3           1         2       0.005
R16.dat                           12     2         4       5.816       5.816     0.000       6        3576         2       3.168
R15.dat                           12     4         4       1.894       0.850    55.143      10    94102640         9   14400.003
R16.dat                           12     3         4       2.864       2.159    24.608      10    10562956         9   14400.003
R17.dat                           12     1         8      18.728      18.728     0.000       2           1         2       0.005
R17.dat                           12     2         8       6.833       6.833     0.000      10       29516         2      14.876
R16.dat                           12     4         4       1.862       0.454    75.609      10    99677282         9   14403.813
R17.dat                           12     3         8       3.212       1.928    39.988      10   123860749         9   14400.002
R18.dat                           12     1         8      21.512      21.512     0.000       2           1         2       0.005
R18.dat                           12     2         8       6.072       6.072     0.000       5       31763         2      14.748
R17.dat                           12     4         8       2.289       0.526    77.015      10   103122257         9   14400.003
R18.dat                           12     3         8       3.070       1.696    44.746      10   130675003         9   14400.004
R19.dat                           24     1         3      48.173      48.173     0.000       3           1         2       0.034
R19.dat                           24     2         3       2.608       2.608     0.000       2           1         2       1.808
R18.dat                           12     4         8       2.178       0.302    86.132      10    97125034         9   14400.002
R19.dat                           24     3         3       1.830       1.116    38.990      10     3195717         9   14400.006
R20.dat                           24     1         3      54.118      54.118     0.000       2           1         2       0.028
R20.dat                           24     2         3       2.472       2.472     0.000       7         133         2       2.086
R20.dat                           24     3         3       1.679       1.679     0.000      10      796479         2    8083.952
R19.dat                           24     4         3       1.441       0.253    82.443      10     4382360         9   14400.007
R21.dat                           24     1        16      51.290      51.290     0.000       2           1         2       0.046
R21.dat                           24     2        16       9.366       9.366     0.000      10        2238         2      43.662
R20.dat                           24     4         3       0.918       0.200    78.202      10     5132445         9   14400.009
R21.dat                           24     3        16       6.649       2.993    54.988      10      215383         9   14400.018
R22.dat                           24     1        16      65.512      65.512     0.000       2           1         2       0.024
R22.dat                           24     2        16      10.012      10.012     0.000       8        3632         2      70.229
R21.dat                           24     4        16       5.086       0.222    95.644      10     2007695         9   14400.007
R22.dat                           24     3        16       7.642       3.029    60.358      10      235447         9   14400.019
R23.dat                           24     1        31      53.120      53.120     0.000       3           1         2       0.052
R23.dat                           24     2        31      13.570      13.570     0.000      10       34372         2     528.748
R22.dat                           24     4        16       4.953       0.161    96.758      10     2736024         9   14400.005
R23.dat                           24     3        31       9.149       2.799    69.404      10      211323         9   14400.042
R24.dat                           24     1        31      75.744      75.744     0.000       3           1         2       0.024
R24.dat                           24     2        31      13.928      13.928     0.000      10        5279         2     136.498
R23.dat                           24     4        31       6.925       0.150    97.836      10     3373483         9   14400.008
R24.dat                           24     3        31      10.358       2.472    76.137      10      535590         9   14400.012
R25.dat                           24     1         3      63.711      63.711     0.000       2           1         2       0.050
R25.dat                           24     2         3      19.301      19.301     0.000       3       46490         2     947.809
R24.dat                           24     4        31       7.106       0.134    98.119      10     1261244         9   14400.007
R25.dat                           24     3         3       2.657       2.502     5.847      10      101199         9   14400.010
R26.dat                           24     1         3      83.798      83.798     0.000       2           1         2       0.047
R26.dat                           24     2         3      22.114      22.114     0.000      10       30681         2    1151.716
R25.dat                           24     4         3       1.978       0.218    88.965      10      395257         9   14400.007
R26.dat                           24     3         3       2.655       2.521     5.040      10       89569         9   14400.012
R27.dat                           24     1        16      53.912      53.912     0.000       2           1         2       0.021
R27.dat                           24     2        16      21.854      21.854     0.000      10       36547         2     672.416
R26.dat                           24     4         3       2.127       0.270    87.308      10       86988         9   14400.010
R27.dat                           24     3        16       8.293       1.955    76.431      10      549248         9   14400.012
R28.dat                           24     1        16      78.890      78.890     0.000       3           1         2       0.049
R28.dat                           24     2        16      24.664      24.664     0.000      10       38151         2    1125.835
R27.dat                           24     4        16       5.795       0.163    97.190      10     2961110         9   14400.007
R28.dat                           24     3        16       8.767       2.257    74.251      10      329062         9   14400.004
R29.dat                           24     1        31      63.211      63.211     0.000       3           1         2       0.025
R29.dat                           24     2        31      25.193      25.193     0.000      10       43557         2     834.477
R28.dat                           24     4        16       7.121       0.006    99.917      10      717314         9   14400.008
R29.dat                           24     3        31      11.226       1.634    85.444      10      375441         9   14400.005
R30.dat                           24     1        31      87.903      87.903     0.000       2           1         2       0.053
R29.dat                           24     4        31       9.430       0.000   100.000      10     1541313         9   14400.006
R30.dat                           24     2        31      29.031      27.513     5.228      10      570163         9   14400.004
R30.dat                           24     3        31      12.641       1.981    84.328      10      124980         9   14400.043
R31.dat                           24     1         3      73.233      73.233     0.000       2           1         2       0.059
R31.dat                           24     2         3      24.223      24.223     0.000      10       29836         2     815.940
R30.dat                           24     4        31       9.651       0.000   100.000      10     1543234         9   14400.007
R31.dat                           24     3         3       9.759       1.716    82.416      10      336151         9   14400.013
R32.dat                           24     1         3      96.346      96.346     0.000       2           1         2       0.024
R31.dat                           24     4         3       2.408       0.081    96.634      10     1458122         9   14400.008
R32.dat                           24     2         3      32.916      32.916     0.000      10     1442149         2    9425.741
R32.dat                           24     3         3      13.440       2.516    81.281      10      134981         9   14400.040
R33.dat                           24     1        16      59.703      59.703     0.000       3           1         2       0.057
R33.dat                           24     2        16      22.594      22.594     0.000      10       30374         2     612.998
R32.dat                           24     4         3       2.510       0.012    99.530      10      495321         9   14400.004
R33.dat                           24     3        16      11.413       2.515    77.963      10      177054         9   14400.020
R34.dat                           24     1        16      86.624      86.624     0.000       3           1         2       0.024
R33.dat                           24     4        16       9.909       0.075    99.243      10     2568261         9   14400.004
R34.dat                           24     2        16      33.696      31.866     5.432      10      707931         9   14400.005
R34.dat                           24     3        16      15.230       2.394    84.279      10      140516         9   14400.023
R35.dat                           24     1        31      73.964      73.964     0.000       3           1         2       0.056
R35.dat                           24     2        31      25.837      25.837     0.000      10       29517         2     759.693
R34.dat                           24     4        16       8.892       0.001    99.984      10      645751         9   14400.004
R35.dat                           24     3        31      17.244       1.459    91.538      10      149468         9   14400.006
R36.dat                           24     1        31      89.902      89.902     0.000       2           1         2       0.025
R36.dat                           24     2        31      29.543      29.543     0.000      10      234121         2    7145.818
R35.dat                           24     4        31      13.261       0.001    99.993      10     2587620         9   14400.006
R36.dat                           24     3        31      17.952       1.408    92.155      10      135446         9   14400.038
R36.dat                           24     4        31      12.677       0.000   100.000      10     3182817         9   14400.008
R11.dat                           12     2         8       5.179       5.179     0.000       7        9949         2       5.793
sushi.dat                         10     2                 4.253       4.253     0.000       3        8120         2       2.716
