instance                           n     g    nswaps      it          obj_last          obj_best     runtime   run  starts
R1.dat                            12     1         1      20            12.144            12.144       0.192     1      10
R1.dat                            12     2         1      25             0.934             0.934       0.350     1      10
R1.dat                            12     3         1      30             0.562             0.562       0.711     5      10
R1.dat                            12     4         1      31             0.290             0.290       1.770     6      10
R2.dat                            12     1         1      20             8.666             8.666       0.181     1      10
R2.dat                            12     2         1      24             1.000             1.000       0.334     1      10
R2.dat                            12     3         1      28             0.640             0.640       1.032     1      10
R2.dat                            12     4         1      39             0.344             0.344       2.481     5      10
R3.dat                            12     1         4      20            12.349            12.349       0.187     1      10
R3.dat                            12     2         4      26             2.874             2.874       0.371     1      10
R3.dat                            12     3         4      32             1.942             1.942       1.427     3      10
R3.dat                            12     4         4      43             1.340             1.340       7.945     8      10
R4.dat                            12     1         4      20            21.344            21.344       0.187     1      10
R4.dat                            12     2         4      26             2.830             2.830       0.440     1      10
R4.dat                            12     3         4      33             1.968             1.968       4.132     2      10
R4.dat                            12     4         4      35             1.131             1.131      11.302     6      10
R5.dat                            12     1         8      20            13.604            13.604       0.181     1      10
R5.dat                            12     2         8      32             4.556             4.556       0.587     1      10
R5.dat                            12     3         8      36             2.975             2.975       2.281     3      10
R5.dat                            12     4         8      41             1.877             1.877      15.678     2      10
R6.dat                            12     1         8      20            20.440            20.440       0.192     1      10
R6.dat                            12     2         8      32             3.822             3.822       0.611     1      10
R6.dat                            12     3         8      44             2.746             2.746       6.691     3      10
R6.dat                            12     4         8      42             1.781             1.781      21.476    10      10
R7.dat                            12     1         1      20            20.762            20.762       0.183     1      10
R7.dat                            12     2         1      32             5.334             5.334       0.465     1      10
R7.dat                            12     3         1      33             0.920             0.920       1.383     2      10
R7.dat                            12     4         1      28             0.616             0.616       4.445     2      10
R8.dat                            12     1         1      20            19.305            19.305       0.196     1      10
R8.dat                            12     2         1      27             4.249             4.249       0.447     1      10
R8.dat                            12     3         1      37             0.942             0.942       3.013     3      10
R8.dat                            12     4         1      35             0.676             0.676      12.481     3      10
R9.dat                            12     1         4      20            13.853            13.853       0.181     1      10
R9.dat                            12     2         4      37             5.078             5.078       0.618     1      10
R9.dat                            12     3         4      44             2.714             2.714       2.245     1      10
R9.dat                            12     4         4      38             1.754             1.754      11.593     2      10
R10.dat                           12     1         4      20            14.416            14.416       0.202     1      10
R10.dat                           12     2         4      30             5.518             5.518       0.572     1      10
R10.dat                           12     3         4      33             2.172             2.172       2.688     3      10
R10.dat                           12     4         4      43             1.480             1.480      17.786     5      10
R11.dat                           12     1         8      20            15.299            15.299       0.191     1      10
R11.dat                           12     2         8      38             5.179             5.179       0.672     1      10
R11.dat                           12     3         8      35             3.494             3.494       2.547     4      10
R11.dat                           12     4         8      48             1.971             1.971      19.360     5      10
R12.dat                           12     1         8      20            22.301            22.301       0.194     1      10
R12.dat                           12     2         8      22             4.887             4.887       0.353     1      10
R12.dat                           12     3         8      33             3.267             3.267       3.189     4      10
R12.dat                           12     4         8      42             2.365             2.365     127.782    10      10
R13.dat                           12     1         1      20            18.700            18.700       0.183     1      10
R13.dat                           12     2         1      29             6.624             6.624       0.419     1      10
R13.dat                           12     3         1      33             1.811             1.811       1.591     1      10
R13.dat                           12     4         1      31             0.676             0.676       5.762     1      10
R14.dat                           12     1         1      20            19.850            19.850       0.186     1      10
R14.dat                           12     2         1      27             7.182             7.182       0.525     6      10
R14.dat                           12     3         1      29             2.296             2.296       5.386     2      10
R14.dat                           12     4         1      38             0.794             0.794      30.096     5      10
R15.dat                           12     1         4      20            17.957            17.957       0.184     1      10
R15.dat                           12     2         4      45             6.751             6.751       0.792     1      10
R15.dat                           12     3         4      36             3.009             3.009       2.585     1      10
R15.dat                           12     4         4      38             1.895             1.895      13.525    10      10
R16.dat                           12     1         4      20            19.944            19.944       0.186     1      10
R16.dat                           12     2         4      30             5.816             5.816       0.530     1      10
R16.dat                           12     3         4      36             2.864             2.864       4.032     3      10
R16.dat                           12     4         4      45             1.862             1.862      37.439     5      10
R17.dat                           12     1         8      20            18.728            18.728       0.183     1      10
R17.dat                           12     2         8      40             6.833             6.833       0.769     2      10
R17.dat                           12     3         8      36             3.212             3.212       2.511     2      10
R17.dat                           12     4         8      32             2.157             2.157      19.173     3      10
R18.dat                           12     1         8      20            21.512            21.512       0.183     1      10
R18.dat                           12     2         8      27             6.072             6.072       0.464     1      10
R18.dat                           12     3         8      46             3.070             3.070       7.308     1      10
R18.dat                           12     4         8      53             2.068             2.068      72.218     2      10
R19.dat                           24     1         3      20            48.173            48.173       0.985     1      10
R19.dat                           24     2         3      22             2.608             2.608       2.026     1      10
R19.dat                           24     3         3      35             1.830             1.830       9.421     3      10
R19.dat                           24     4         3      47             1.178             1.178      72.684     5      10
R20.dat                           24     1         3      20            54.118            54.118       1.032     1      10
R20.dat                           24     2         3      26             2.472             2.472       2.676     1      10
R20.dat                           24     3         3      30             1.679             1.679      16.551     1      10
R20.dat                           24     4         3      38             0.918             0.918      97.580     5      10
R21.dat                           24     1        16      20            51.290            51.290       1.011     1      10
R21.dat                           24     2        16      30             9.366             9.366       3.406     1      10
R21.dat                           24     3        16      34             6.649             6.649      19.513     7      10
R21.dat                           24     4        16      42             4.890             4.890     276.579     2      10
R22.dat                           24     1        16      20            65.512            65.512       1.007     1      10
R22.dat                           24     2        16      30            10.012            10.012       3.923     1      10
R22.dat                           24     3        16      38             7.402             7.402     145.041     1      10
R22.dat                           24     4        16      50             4.953             4.953    2714.293     8      10
R23.dat                           24     1        31      20            53.120            53.120       1.007     1      10
R23.dat                           24     2        31      30            13.570            13.570       3.583     1      10
R23.dat                           24     3        31      42             9.149             9.149      43.849     3      10
R23.dat                           24     4        31      71             6.925             6.925    1378.509     5      10
R24.dat                           24     1        31      20            75.744            75.744       1.028     1      10
R24.dat                           24     2        31      31            13.928            13.928       6.171     1      10
R24.dat                           24     3        31      43            10.160            10.160     246.704     1      10
R24.dat                           24     4        31      55             7.106             7.106    4423.650     5      10
R25.dat                           24     1         3      20            63.711            63.711       0.998     1      10
R25.dat                           24     2         3      38            19.301            19.301       3.752     1      10
R25.dat                           24     3         3      38             2.657             2.657      25.132     2      10
R25.dat                           24     4         3      35             1.978             1.978     164.933     2      10
R26.dat                           24     1         3      20            83.798            83.798       1.100     1      10
R26.dat                           24     2         3      30            22.114            22.114       7.922     1      10
R26.dat                           24     3         3      33             2.655             2.655     134.243     3      10
R26.dat                           24     4         3      34             2.079             2.079     959.355     5      10
R27.dat                           24     1        16      20            53.912            53.912       0.976     1      10
R27.dat                           24     2        16      46            21.854            21.854       6.140     1      10
R27.dat                           24     3        16      42             8.293             8.293      36.696     1      10
R27.dat                           24     4        16      54             5.795             5.795     597.589     5      10
R28.dat                           24     1        16      20            78.890            78.890       1.098     1      10
R28.dat                           24     2        16      31            24.664            24.664      10.402     1      10
R28.dat                           24     3        16      34             8.767             8.767     434.183     3      10
R28.dat                           24     4        16      53             6.841             6.841    4380.698     3      10
R29.dat                           24     1        31      20            63.211            63.211       1.008     1      10
R29.dat                           24     2        31      48            25.193            25.193       7.659     1      10
R29.dat                           24     3        31      49            11.226            11.226      92.822     1      10
R29.dat                           24     4        31      53             7.916             7.916    4620.861     2      10
R30.dat                           24     1        31      20            87.903            87.903       1.115     1      10
R30.dat                           24     2        31      33            29.031            29.031      12.492     1      10
R30.dat                           24     3        31      59            12.629            12.629    2115.681     3      10
R30.dat                           24     4        31      61             9.651             9.651    7327.513     6      10
R31.dat                           24     1         3      20            73.233            73.233       0.986     1      10
R31.dat                           24     2         3      32            24.223            24.223       4.682     2      10
R31.dat                           24     3         3      47             9.759             9.759      73.305     1      10
R31.dat                           24     4         3      50             2.408             2.408     895.978     2      10
R32.dat                           24     1         3      20            96.346            96.346       1.089     1      10
R32.dat                           24     2         3      38            32.916            32.916      12.226     1      10
R32.dat                           24     3         3      39            12.768            12.768    3510.304     2      10
R32.dat                           24     4         3      45             2.510             2.510    4798.261     8      10
R33.dat                           24     1        16      20            59.703            59.703       1.002     1      10
R33.dat                           24     2        16      41            22.594            22.594       6.014     1      10
R33.dat                           24     3        16      52            11.413            11.413      85.769     1      10
R33.dat                           24     4        16      45             7.533             7.533    2000.465     1      10
R34.dat                           24     1        16      20            86.624            86.624       1.101     1      10
R34.dat                           24     2        16      28            33.696            33.696       9.183     2      10
R34.dat                           24     3        16      60            15.016            15.016    5935.305     1      10
R34.dat                           24     4        16      67             7.779             7.779    7181.446     3      10
R35.dat                           24     1        31      20            73.964            73.964       0.995     1      10
R35.dat                           24     2        31      35            25.837            25.837       5.531     1      10
R35.dat                           24     3        31      42            15.171            15.171     153.991     5      10
R35.dat                           24     4        31      46            10.012            10.012    4766.097     5      10
R36.dat                           24     1        31      20            89.902            89.902       1.103     1      10
R36.dat                           24     2        31      32            29.543            29.543       7.655     1      10
R36.dat                           24     3        31      56            16.204            16.204    5067.869     1      10
R36.dat                           24     4        31      54            11.917            11.917    6486.656     8      10
